        step	          pH	          pe	          Ca	           S	          Fe	          Al	          Mn	        C(4)	      Gypsum	    d_Gypsum	  Fe(OH)3(a)	d_Fe(OH)3(a)	    Gibbsite	  d_Gibbsite	     Calcite	   d_Calcite	  si_Calcite	   si_Gypsum	si_Fe(OH)3(a)	 si_Gibbsite	
          27	     3.97578	     8.55023	  1.3499e-02	  2.7156e-02	  9.0270e-03	  5.1443e-03	  9.1317e-04	  1.3503e-05	  0.0000e+00	  0.0000e+00	  8.5435e-04	  8.5435e-04	  2.2932e-03	  2.2932e-03	  0.0000e+00	  0.0000e+00	     -7.5130	     -0.0263	      0.0000	     -0.0000	
          28	     3.98662	     8.51934	  1.3999e-02	  2.7156e-02	  9.0254e-03	  4.8131e-03	  9.1317e-04	  1.3504e-05	  0.0000e+00	  0.0000e+00	  8.5607e-04	  8.5607e-04	  2.6244e-03	  2.6244e-03	  0.0000e+00	  0.0000e+00	     -7.4772	     -0.0090	      0.0000	      0.0000	
          29	     3.99713	     8.48801	  1.4284e-02	  2.6941e-02	  9.0239e-03	  4.4821e-03	  9.1319e-04	  1.3507e-05	  2.1569e-04	  2.1569e-04	  8.5776e-04	  8.5776e-04	  2.9556e-03	  2.9556e-03	  0.0000e+00	  0.0000e+00	     -7.4476	      0.0000	      0.0000	      0.0000	
          30	     4.00728	     8.45616	  1.4321e-02	  2.6478e-02	  9.0224e-03	  4.1512e-03	  9.1321e-04	  1.3510e-05	  6.7905e-04	  6.7905e-04	  8.5941e-04	  8.5941e-04	  3.2865e-03	  3.2865e-03	  0.0000e+00	  0.0000e+00	     -7.4248	      0.0000	      0.0000	      0.0000	
          31	     4.01834	     8.42156	  1.4358e-02	  2.6016e-02	  9.0210e-03	  3.8205e-03	  9.1324e-04	  1.3514e-05	  1.1418e-03	  1.1418e-03	  8.6111e-04	  8.6111e-04	  3.6174e-03	  3.6174e-03	  0.0000e+00	  0.0000e+00	     -7.4002	      0.0000	      0.0000	      0.0000	
          32	     4.03048	     8.38371	  1.4396e-02	  2.5555e-02	  9.0194e-03	  3.4898e-03	  9.1326e-04	  1.3518e-05	  1.6040e-03	  1.6040e-03	  8.6287e-04	  8.6287e-04	  3.9482e-03	  3.9482e-03	  0.0000e+00	  0.0000e+00	     -7.3733	      0.0000	      0.0000	      0.0000	
          33	     4.04392	     8.34196	  1.4435e-02	  2.5094e-02	  9.0179e-03	  3.1592e-03	  9.1328e-04	  1.3522e-05	  2.0655e-03	  2.0655e-03	  8.6469e-04	  8.6469e-04	  4.2788e-03	  4.2788e-03	  0.0000e+00	  0.0000e+00	     -7.3438	      0.0000	      0.0000	      0.0000	
          34	     4.05894	     8.29545	  1.4475e-02	  2.4634e-02	  9.0162e-03	  2.8288e-03	  9.1331e-04	  1.3527e-05	  2.5264e-03	  2.5264e-03	  8.6657e-04	  8.6657e-04	  4.6093e-03	  4.6093e-03	  0.0000e+00	  0.0000e+00	     -7.3112	      0.0000	      0.0000	      0.0000	
          35	     4.07594	     8.24299	  1.4515e-02	  2.4174e-02	  9.0145e-03	  2.4986e-03	  9.1333e-04	  1.3532e-05	  2.9866e-03	  2.9866e-03	  8.6855e-04	  8.6855e-04	  4.9396e-03	  4.9396e-03	  0.0000e+00	  0.0000e+00	     -7.2745	      0.0000	      0.0000	     -0.0000	
          36	     4.09548	      8.1829	  1.4556e-02	  2.3715e-02	  9.0126e-03	  2.1685e-03	  9.1335e-04	  1.3539e-05	  3.4462e-03	  3.4462e-03	  8.7063e-04	  8.7063e-04	  5.2696e-03	  5.2696e-03	  0.0000e+00	  0.0000e+00	     -7.2327	      0.0000	      0.0000	      0.0000	
          37	     4.11839	     8.11267	  1.4597e-02	  2.3257e-02	  9.0106e-03	  1.8387e-03	  9.1338e-04	  1.3546e-05	  3.9051e-03	  3.9051e-03	  8.7283e-04	  8.7283e-04	  5.5994e-03	  5.5994e-03	  0.0000e+00	  0.0000e+00	     -7.1842	      0.0000	      0.0000	      0.0000	
          38	     4.14602	     8.02829	  1.4639e-02	  2.2799e-02	  9.0085e-03	  1.5093e-03	  9.1340e-04	  1.3556e-05	  4.3632e-03	  4.3632e-03	  8.7520e-04	  8.7520e-04	  5.9288e-03	  5.9288e-03	  0.0000e+00	  0.0000e+00	     -7.1262	      0.0000	      0.0000	     -0.0000	
          39	     4.18067	     7.92281	  1.4682e-02	  2.2342e-02	  9.0061e-03	  1.1804e-03	  9.1342e-04	  1.3568e-05	  4.8207e-03	  4.8207e-03	  8.7780e-04	  8.7780e-04	  6.2577e-03	  6.2577e-03	  0.0000e+00	  0.0000e+00	     -7.0541	      0.0000	     -0.0000	     -0.0000	
          40	     4.22694	     7.78246	  1.4726e-02	  2.1886e-02	  9.0034e-03	  8.5226e-04	  9.1344e-04	  1.3586e-05	  5.2774e-03	  5.2774e-03	  8.8072e-04	  8.8072e-04	  6.5858e-03	  6.5858e-03	  0.0000e+00	  0.0000e+00	     -6.9587	      0.0000	      0.0000	      0.0000	
          41	     4.29619	     7.57315	  1.4770e-02	  2.1430e-02	  9.0002e-03	  5.2553e-04	  9.1347e-04	  1.3615e-05	  5.7334e-03	  5.7334e-03	  8.8420e-04	  8.8420e-04	  6.9125e-03	  6.9125e-03	  0.0000e+00	  0.0000e+00	     -6.8174	      0.0000	      0.0000	     -0.0000	
          42	     4.43425	     7.15742	  1.4815e-02	  2.0975e-02	  8.9956e-03	  2.0225e-04	  9.1349e-04	  1.3689e-05	  6.1888e-03	  6.1888e-03	  8.8896e-04	  8.8896e-04	  7.2357e-03	  7.2357e-03	  0.0000e+00	  0.0000e+00	     -6.5384	      0.0000	      0.0000	      0.0000	
          43	     7.40946	    -1.76546	  1.4899e-02	  2.0559e-02	  8.9864e-03	  9.0197e-08	  9.1351e-04	  2.8252e-04	  6.6054e-03	  6.6054e-03	  8.9834e-04	  8.9834e-04	  7.4378e-03	  7.4378e-03	  0.0000e+00	  0.0000e+00	     -0.5839	      0.0000	      0.0000	     -0.0000	
          44	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  3.1673e-04	  3.1673e-04	      0.0000	      0.0000	      0.0000	      0.0000	
          45	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  8.1673e-04	  8.1673e-04	      0.0000	      0.0000	      0.0000	      0.0000	
